Country,Bronze,Silver,Gold,Ctry_Name,Total
Norway,84,98,98,Norway,280
United States,58,80,78,United States,216
Soviet Union,59,57,78,Soviet Union,194
Austria,70,64,51,Austria,185
Germany,41,59,58,Germany,158
Finland,52,58,41,Finland,151
Canada,43,38,38,Canada,119
Switzerland,43,37,38,Switzerland,118
Sweden,44,31,43,Sweden,118
East Germany,35,36,39,East Germany,110
Italy,34,31,36,Italy,101
France,34,24,25,France,83
Netherlands,23,30,25,Netherlands,78
Russia,19,24,33,Russia,76
West Germany,13,15,13,West Germany,41
China,13,16,4,China,33
Japan,13,10,9,Japan,32
"Korea, South",6,8,17,"Korea, South",31
Czechoslovakia,15,8,2,Czechoslovakia,25
Unified Team,8,6,9,Unified Team,23
United Kingdom,10,3,8,United Kingdom,21
Unified Team of Germany,5,6,8,Unified Team of Germany,19
Czech Republic,2,5,3,Czech Republic,10
Liechtenstein,5,2,2,Liechtenstein,9
Poland,4,3,1,Poland,8
Croatia,0,3,4,Croatia,7
Belarus,3,3,0,Belarus,6
Bulgaria,3,2,1,Bulgaria,6
Estonia,1,1,4,Estonia,6
Hungary,4,2,0,Hungary,6
Australia,3,0,3,Australia,6
Belgium,3,1,1,Belgium,5
Kazakhstan,2,2,1,Kazakhstan,5
Ukraine,3,1,1,Ukraine,5
Yugoslavia,1,3,0,Yugoslavia,4
Slovenia,4,0,0,Slovenia,4
Spain,1,0,1,Spain,2
Luxembourg,0,2,0,Luxembourg,2
"Korea, North",1,1,0,"Korea, North",2
Slovakia,0,1,0,Slovakia,1
Romania,1,0,0,Romania,1
New Zealand,0,1,0,New Zealand,1
Uzbekistan,0,0,1,Uzbekistan,1
Denmark,0,1,0,Denmark,1
Latvia,1,0,0,Latvia,1
