Country,Bronze,Silver,Gold,Ctry_Name,Total
Norway,67,85,89,Norway,241
Austria,48,38,32,Austria,118
Finland,38,45,32,Finland,115
United States,29,40,45,United States,114
Soviet Union,34,28,41,Soviet Union,103
Sweden,33,24,34,Sweden,91
Switzerland,33,27,24,Switzerland,84
Germany,15,19,26,Germany,60
Italy,16,21,22,Italy,59
Canada,20,22,17,Canada,59
East Germany,18,17,19,East Germany,54
Netherlands,18,21,13,Netherlands,52
France,21,12,14,France,47
Russia,8,10,9,Russia,27
Japan,9,9,7,Japan,25
West Germany,6,9,8,West Germany,23
Czechoslovakia,10,7,2,Czechoslovakia,19
"Korea, South",3,5,8,"Korea, South",16
United Kingdom,6,1,5,United Kingdom,12
Unified Team of Germany,4,2,4,Unified Team of Germany,10
China,3,3,1,China,7
Poland,2,2,1,Poland,5
Belarus,3,2,0,Belarus,5
Kazakhstan,1,2,1,Kazakhstan,4
Liechtenstein,3,1,0,Liechtenstein,4
Czech Republic,1,1,2,Czech Republic,4
Belgium,3,1,0,Belgium,4
Estonia,1,1,2,Estonia,4
Unified Team,0,1,3,Unified Team,4
Australia,1,0,2,Australia,3
Yugoslavia,1,2,0,Yugoslavia,3
Slovenia,2,0,0,Slovenia,2
Luxembourg,0,2,0,Luxembourg,2
Spain,0,0,1,Spain,1
Slovakia,0,1,0,Slovakia,1
Romania,1,0,0,Romania,1
Croatia,0,1,0,Croatia,1
Bulgaria,1,0,0,Bulgaria,1
Latvia,1,0,0,Latvia,1
