Country,Bronze,Silver,Gold,Ctry_Name,Total
United States,24,34,33,United States,91
Germany,24,38,27,Germany,89
Soviet Union,22,21,27,Soviet Union,70
Austria,19,22,15,Austria,56
Canada,18,15,19,Canada,52
East Germany,12,17,15,East Germany,44
Norway,17,13,9,Norway,39
Russia,11,9,17,Russia,37
Finland,14,12,9,Finland,35
Switzerland,10,10,14,Switzerland,34
Italy,14,8,12,Italy,34
France,11,11,8,France,30
Sweden,11,7,9,Sweden,27
Netherlands,5,9,12,Netherlands,26
China,8,12,3,China,23
Unified Team,7,4,4,Unified Team,15
"Korea, South",3,3,9,"Korea, South",15
West Germany,4,5,4,West Germany,13
United Kingdom,3,2,2,United Kingdom,7
Japan,4,1,2,Japan,7
Unified Team of Germany,1,2,4,Unified Team of Germany,7
Czechoslovakia,5,1,0,Czechoslovakia,6
Czech Republic,1,4,1,Czech Republic,6
Croatia,0,2,4,Croatia,6
Liechtenstein,2,1,2,Liechtenstein,5
Bulgaria,2,2,1,Bulgaria,5
Ukraine,2,1,1,Ukraine,4
Australia,2,0,1,Australia,3
Poland,2,1,0,Poland,3
Slovenia,2,0,0,Slovenia,2
"Korea, North",1,1,0,"Korea, North",2
Estonia,0,0,2,Estonia,2
Spain,1,0,0,Spain,1
New Zealand,0,1,0,New Zealand,1
Kazakhstan,1,0,0,Kazakhstan,1
Denmark,0,1,0,Denmark,1
Uzbekistan,0,0,1,Uzbekistan,1
Belarus,0,1,0,Belarus,1
Yugoslavia,0,1,0,Yugoslavia,1
